Tabela 6957 - Produção, Valor da produção, Venda, Valor da venda e Área colhida da lavoura temporária nos estabelecimentos agropecuários, por tipologia, produtos da lavoura temporária, condição do produtor em relação às terras e grupos de atividade econômica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Ano x Tipologia x Variável x Grupos de atividade econômica x Condição do produtor em relação às terras x Produtos da lavoura temporária;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Área colhida nas lavouras temporárias (Hectares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Total;Abacaxi;Abóbora, moranga, jerimum;Algodão herbáceo;Alho;Amendoim em casca;Arroz em casca;Aveia branca em grão;Batata-inglesa;Cana-de-açúcar;Cebola;Centeio em grão;Cevada em casca;Colza (canola);Ervilha em grão;Fava em grão;Feijão preto em grão;Feijão de cor em grão;Feijão fradinho em grão;Feijão verde;Fumo em folha seca;Gergelim (semente);Girassol (semente);Juta (fibra);Linho (fibra);Malva (fibra);Mamona;Mandioca (aipim, macaxeira);Melancia;Melão;Milho em grão;Rami (fibra);Soja em grão;Sorgo em grão;Sorgo vassoura;Tomate rasteiro (industrial);Trigo em grão;Trigo preto em grão;Triticale em grão;Forrageiras para corte;Cana forrageira;Milho forrageiro;Palma forrageira;Sorgo forrageiro;Outros produtos;Sementes de algodão (produzidas para plantio);Sementes de arroz (produzidas para plantio);Sementes de feijão (produzidas para plantio);Sementes de milho (produzidas para plantio);Sementes de soja (produzidas para plantio);Sementes de trigo (produzidas para plantio);Sementes de forrageiras (produzidas para plantio);Sementes de batata-inglesa (produzidas para plantio);Toletes de cana-de-açúcar (produzidas para plantio);Sementes e outras formas de propagação de outros produtos (produzidas para plantio)
2412500;São Miguel (RN);4050;-;9;-;-;2;3;-;-;X;-;-;-;-;-;594;-;4;1584;7;-;X;-;-;-;-;-;2;1;X;1744;-;-;13;-;-;-;-;-;36;-;X;29;17;X;-;-;-;-;-;-;X;-;-;-
2412559;São Miguel do Gostoso (RN);770;22;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;57;164;-;-;-;-;-;-;-;312;X;-;191;-;-;X;-;-;-;-;-;3;2;X;X;-;X;-;-;-;-;-;-;-;-;-;-
2412609;São Paulo do Potengi (RN);595;X;X;-;-;X;-;-;-;-;-;-;-;-;-;3;-;-;120;14;-;X;-;-;-;-;-;19;3;-;111;-;-;13;X;-;-;-;-;150;-;6;118;37;-;-;-;-;-;-;-;-;-;-;-
2412708;São Pedro (RN);931;-;3;X;-;-;-;-;-;X;-;-;-;-;-;7;-;X;136;84;-;0;-;-;-;-;-;31;4;X;101;-;-;58;-;-;-;-;-;256;X;57;114;66;-;-;-;-;-;-;-;-;-;-;-
2412807;São Rafael (RN);789;-;11;-;-;X;-;-;-;-;-;-;-;-;-;7;-;X;103;210;-;X;-;-;-;-;-;-;31;4;192;-;-;20;-;-;-;-;-;149;X;X;-;57;-;-;-;-;-;-;-;-;-;-;-
2412906;São Tomé (RN);238;-;0;-;-;-;-;-;-;X;-;-;-;-;-;4;-;3;49;60;-;-;-;-;-;-;-;-;X;-;44;-;-;X;-;-;-;-;-;26;-;X;46;X;-;-;-;-;-;-;-;-;-;-;-
2413003;São Vicente (RN);965;-;1;-;-;-;-;-;-;X;-;-;-;-;-;100;-;15;145;225;-;-;-;-;-;-;-;38;3;X;243;-;-;4;-;-;-;-;-;94;X;21;10;34;31;-;-;-;-;-;-;-;-;-;-
2413102;Senador Elói de Souza (RN);1226;X;1;-;-;-;-;-;-;-;-;-;-;-;-;5;-;8;309;67;-;-;-;-;-;-;-;508;2;-;175;-;-;X;-;-;-;-;-;102;X;X;42;X;X;-;-;-;-;-;-;-;-;-;-
2413201;Senador Georgino Avelino (RN);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
2413300;Serra de São Bento (RN);1152;-;2;-;-;-;-;-;-;-;X;-;-;-;-;183;2;16;413;7;-;X;-;-;-;-;-;34;X;-;421;-;-;-;-;-;-;-;-;41;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-
2413359;Serra do Mel (RN);2455;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;1081;270;-;X;-;-;-;-;-;3;867;-;98;-;-;97;-;-;-;-;-;-;-;-;X;X;-;-;-;-;-;-;-;-;-;-;-
2413409;Serra Negra do Norte (RN);1033;-;7;-;-;-;15;-;-;X;-;-;-;-;-;-;-;-;328;97;-;X;-;-;-;-;-;X;53;8;136;-;-;12;-;-;-;-;-;299;-;-;X;71;-;-;-;-;-;-;-;-;-;-;-
2413508;Serrinha (RN);1311;-;-;-;-;-;-;-;-;2;-;-;-;-;-;21;-;11;254;96;-;-;-;-;-;-;-;350;-;-;416;-;-;-;-;-;-;-;-;70;8;28;53;-;-;-;-;-;-;-;-;-;-;-;-
2413557;Serrinha dos Pintos (RN);697;-;X;-;-;-;6;-;-;-;-;-;-;-;-;20;-;12;329;X;-;-;-;-;-;-;-;X;X;-;285;-;-;14;-;-;-;-;-;5;-;-;4;19;-;-;-;-;-;-;-;-;-;-;-
2413607;Severiano Melo (RN);1021;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;742;X;-;3;-;-;-;-;-;X;X;-;26;-;-;65;X;-;-;-;-;-;-;14;-;132;X;-;-;X;X;-;-;-;-;-;-
2413706;Sítio Novo (RN);382;-;X;-;-;-;-;-;-;-;-;-;-;-;-;4;-;2;63;3;-;-;-;-;-;-;-;X;X;-;29;-;-;-;-;-;-;-;-;7;-;20;255;-;-;-;-;-;-;-;-;-;-;-;-
2413805;Taboleiro Grande (RN);166;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;74;-;-;-;-;-;-;-;-;X;-;77;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2413904;Taipu (RN);1698;1;10;-;-;-;-;-;-;780;-;-;-;-;-;1;-;X;58;253;-;-;-;-;-;-;-;377;4;-;80;-;-;X;-;-;-;-;-;6;8;-;42;51;X;-;-;-;-;-;-;-;-;-;-
2414001;Tangará (RN);1255;-;0;-;-;-;-;-;-;X;-;-;-;-;-;3;-;123;428;65;-;-;-;-;-;-;-;36;X;-;183;-;-;X;-;X;-;-;-;51;-;82;263;20;-;-;-;-;-;-;-;-;-;-;-
2414100;Tenente Ananias (RN);460;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;X;166;X;-;-;-;-;-;-;-;-;-;-;171;-;-;29;-;-;-;-;-;21;-;4;-;68;-;-;-;-;-;-;-;-;-;-;-
2414159;Tenente Laurentino Cruz (RN);821;-;1;-;-;-;-;-;-;-;X;-;-;-;-;165;-;6;282;X;-;-;-;-;-;-;-;96;X;-;241;-;-;-;-;-;-;-;-;21;-;4;3;X;X;-;-;-;-;-;-;-;-;-;-
2414209;Tibau do Sul (RN);749;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;X;12;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2414308;Timbaúba dos Batistas (RN);347;-;X;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;118;-;-;-;-;-;-;-;-;-;16;5;25;-;-;X;-;X;-;-;-;112;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-
2414407;Touros (RN);3839;296;93;X;-;-;-;-;-;X;-;-;-;-;-;1;-;24;445;505;-;X;-;-;-;-;-;871;39;X;822;-;X;X;-;10;-;-;-;33;21;87;2;X;33;X;-;-;-;-;-;-;-;-;-
2414456;Triunfo Potiguar (RN);390;-;4;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;66;119;-;-;-;-;-;-;X;X;3;-;124;-;-;X;-;-;-;-;-;45;-;X;1;X;-;-;-;-;-;-;-;-;-;-;-
2414506;Umarizal (RN);1405;-;3;X;-;-;X;-;-;X;-;-;-;-;-;X;-;9;759;26;-;X;-;-;-;-;-;5;5;2;414;-;-;140;-;-;-;-;-;20;-;-;-;13;X;-;-;-;-;-;-;-;-;-;-
2414605;Upanema (RN);3522;-;50;-;-;-;-;-;-;X;-;-;-;-;-;-;-;83;1066;97;-;6;-;-;-;-;-;2;319;278;715;-;-;129;-;X;-;-;-;135;X;166;X;464;8;-;-;-;-;-;-;-;-;-;-
2414704;Várzea (RN);212;-;X;-;-;-;-;-;-;-;-;-;-;-;-;X;X;-;3;31;-;-;-;-;-;-;-;36;-;-;41;-;-;-;-;-;-;-;-;54;26;X;19;-;-;-;-;-;-;-;-;-;-;-;-
2414753;Venha-Ver (RN);932;-;6;-;-;1;-;-;-;1;-;-;-;-;-;67;-;-;401;X;-;-;-;-;-;-;-;2;0;-;394;-;-;X;-;-;-;-;-;31;-;-;25;4;-;-;-;-;X;-;-;-;-;-;-
2414803;Vera Cruz (RN);1264;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;3;248;-;-;-;-;-;-;-;944;X;-;49;-;-;-;-;-;-;-;-;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-
2414902;Viçosa (RN);110;-;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-;X;42;-;-;-;-;-;-;-;-;X;-;-;32;-;-;-;-;-;-;-;-;3;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-
2415008;Vila Flor (RN);2342;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;X;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2500106;Água Branca (PB);2292;-;25;X;-;-;17;-;-;X;X;-;-;-;-;58;-;3;1054;83;-;-;-;-;-;-;-;7;7;-;1016;-;-;X;-;X;-;-;-;X;X;4;9;-;-;-;-;-;-;-;-;X;-;-;-
2500205;Aguiar (PB);1112;-;16;-;-;-;27;-;-;2;-;-;-;-;-;34;-;-;411;3;X;1;-;-;-;-;-;3;5;0;565;-;-;X;-;-;-;-;-;34;3;4;2;X;-;-;-;-;-;-;-;-;-;-;-
2500304;Alagoa Grande (PB);2564;5;75;6;-;-;-;-;X;402;0;-;-;-;-;228;14;28;214;77;-;-;-;-;-;-;-;165;1;X;625;-;-;X;-;-;-;-;-;388;76;35;43;X;-;-;-;-;-;-;-;-;-;-;X
2500403;Alagoa Nova (PB);1203;-;43;-;-;-;-;-;3;460;-;-;-;-;-;107;12;54;246;52;-;-;-;-;-;-;-;49;X;-;169;-;-;-;-;-;-;-;-;-;-;X;3;-;0;-;-;X;X;-;-;-;-;-;-
2500502;Alagoinha (PB);835;-;40;-;-;X;-;-;-;119;-;-;-;-;-;93;X;-;80;122;-;-;-;-;-;-;-;143;-;X;156;-;-;-;-;-;-;-;-;24;20;X;11;X;X;-;-;-;-;-;-;-;-;-;-
2500536;Alcantil (PB);23;-;1;-;-;-;-;-;-;-;-;-;-;-;-;0;2;-;7;-;-;-;-;-;-;-;-;-;X;-;4;-;-;-;-;-;-;-;-;-;-;X;6;X;-;-;-;-;-;-;-;-;-;-;-
2500577;Algodão de Jandaíra (PB);364;-;X;-;-;-;-;-;-;-;-;-;-;-;-;4;1;102;74;-;-;-;-;-;-;-;-;-;-;X;99;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;-;-
2500601;Alhandra (PB);3934;7;1;-;-;X;-;-;-;3269;X;-;-;-;-;-;-;-;X;123;-;-;-;-;-;-;-;520;2;-;X;-;-;-;-;-;-;-;-;10;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
2500700;São João do Rio do Peixe (PB);2770;-;20;10;-;-;9;-;-;8;-;-;-;-;-;X;5;17;976;36;-;1;-;-;-;-;X;2;8;X;1227;-;-;4;-;X;-;-;-;116;X;47;10;277;-;-;-;-;-;-;-;-;-;-;-
2500734;Amparo (PB);676;-;39;-;X;-;-;-;0;2;0;-;-;-;-;0;X;X;216;41;-;-;-;-;-;-;-;1;31;X;251;-;-;X;-;X;-;-;-;19;X;32;24;16;X;-;-;-;-;-;-;-;-;-;-
2500775;Aparecida (PB);441;-;1;X;-;-;X;-;-;X;-;-;-;-;-;-;X;8;121;5;-;0;-;-;-;-;-;1;1;0;109;-;-;-;-;-;-;-;-;X;X;70;5;114;1;-;-;-;-;-;-;-;-;-;-
2500809;Araçagi (PB);2743;944;21;-;-;X;X;-;-;299;-;-;-;-;-;102;1;14;195;152;-;-;-;-;-;-;-;472;1;-;211;-;-;-;-;X;-;-;-;182;115;2;31;-;X;-;-;-;-;-;-;-;-;-;-
2500908;Arara (PB);1581;-;31;2;-;4;-;-;X;52;2;-;-;-;-;36;15;468;145;52;-;-;X;-;-;-;-;93;1;-;401;-;-;-;-;-;-;-;-;97;1;X;45;-;-;X;-;86;43;-;-;-;-;-;X
2501005;Araruna (PB);3174;-;31;X;-;X;-;-;-;2;X;-;-;-;-;194;15;908;540;148;-;-;-;-;-;-;-;109;3;X;843;-;-;-;X;-;-;-;-;111;4;95;171;-;X;-;-;-;-;-;-;-;-;-;X
2501104;Areia (PB);2366;X;43;2;-;-;-;-;X;818;2;-;-;-;-;97;2;257;234;164;-;-;X;-;-;-;-;237;X;-;363;-;-;-;-;X;-;-;-;120;14;8;7;-;X;-;-;-;-;-;-;-;-;-;-
2501153;Areia de Baraúnas (PB);130;-;3;-;-;-;-;-;-;X;X;-;-;-;-;X;-;2;50;4;-;-;-;-;-;-;-;X;6;X;48;-;-;-;-;-;-;-;-;14;X;X;X;X;-;-;-;-;-;-;-;-;-;-;-
2501203;Areial (PB);1532;X;41;-;-;X;-;-;1;-;X;-;-;-;-;33;334;563;58;4;-;-;X;-;-;-;-;14;-;-;434;-;-;-;-;-;-;-;-;2;-;26;20;-;X;-;-;-;-;-;-;-;-;-;-
2501302;Aroeiras (PB);3668;X;32;-;-;-;-;-;-;-;-;-;-;-;-;216;454;103;700;149;-;-;-;-;-;-;-;2;0;0;1050;-;-;17;-;X;-;-;-;7;-;50;777;105;2;-;-;X;X;-;-;-;-;-;X
2501351;Assunção (PB);143;-;8;-;-;-;-;-;-;1;-;-;-;-;-;0;-;-;4;77;-;-;-;-;-;-;-;1;13;1;27;-;-;-;-;X;-;-;-;X;-;-;9;-;X;-;-;-;-;-;-;-;-;-;-
2501401;Baía da Traição (PB);646;X;X;-;-;-;-;-;-;448;-;-;-;-;-;X;-;-;2;42;-;-;-;-;-;-;-;146;X;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2501500;Bananeiras (PB);2401;-;19;-;-;-;9;-;-;77;X;-;-;-;-;254;9;423;455;140;-;-;-;-;-;-;-;342;-;-;555;-;-;-;-;-;-;-;-;51;6;40;20;-;X;-;-;-;-;-;-;-;-;-;-
2501534;Baraúna (PB);815;-;6;4;-;-;-;-;-;-;0;-;-;-;-;28;-;-;316;54;-;-;-;-;-;-;X;2;2;0;344;-;-;-;-;X;-;-;-;-;-;-;60;-;-;X;-;-;-;-;-;-;-;-;-
2501575;Barra de Santana (PB);1025;-;10;-;-;-;-;-;-;X;-;-;-;-;-;3;20;2;51;38;-;-;-;-;-;-;-;-;3;X;93;-;-;X;X;-;-;-;-;110;-;85;536;51;-;-;-;12;5;-;-;-;-;-;2
2501609;Barra de Santa Rosa (PB);2402;-;2;6;-;-;-;-;-;-;-;-;-;-;-;52;X;13;579;18;-;-;-;-;-;-;-;-;1;-;880;-;-;-;-;-;-;-;-;-;-;-;847;X;-;-;-;-;-;-;-;-;-;-;-
2501708;Barra de São Miguel (PB);92;-;1;-;-;-;-;-;-;-;5;-;-;-;-;-;4;-;-;41;-;-;-;-;-;-;-;X;X;-;6;-;-;-;-;6;-;-;-;1;-;6;X;12;X;-;-;0;X;-;-;-;-;-;-
2501807;Bayeux (PB);38;2;-;-;-;-;-;-;-;-;-;-;-;-;-;X;-;-;3;4;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
2501906;Belém (PB);1086;0;44;-;-;X;4;-;-;85;-;-;-;-;-;106;8;52;271;97;-;X;X;-;-;-;-;116;0;-;283;-;-;-;-;-;-;-;-;X;5;1;8;X;4;-;X;-;-;-;-;-;-;-;-
2502003;Belém do Brejo do Cruz (PB);539;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;147;-;-;X;-;-;-;-;-;-;2;-;94;-;-;-;-;-;-;-;-;50;-;X;-;237;X;-;-;-;-;-;-;-;-;-;-
2502052;Bernardino Batista (PB);458;-;2;-;-;1;-;-;-;-;-;-;-;-;-;21;-;5;210;X;-;-;-;-;-;-;-;2;2;X;213;-;-;-;-;-;-;-;-;X;X;-;0;X;-;-;-;-;-;-;-;-;-;-;-
2502102;Boa Ventura (PB);679;-;4;-;-;-;69;-;-;2;-;-;-;-;-;2;-;X;195;45;-;-;-;-;-;-;-;1;4;X;337;-;-;-;-;-;-;-;-;X;-;X;3;12;-;-;-;-;-;-;-;-;-;-;-
2502151;Boa Vista (PB);287;-;0;-;-;-;-;-;-;-;-;-;-;-;-;X;-;X;3;9;-;-;-;-;-;-;-;-;X;-;34;-;-;-;-;-;-;-;-;X;-;5;235;X;-;-;-;-;-;-;-;-;-;-;-
2502201;Bom Jesus (PB);207;-;1;-;-;-;X;-;-;-;-;-;-;-;-;0;-;-;99;2;-;X;-;-;-;-;-;-;1;-;97;-;-;X;-;-;-;-;-;X;-;6;-;X;-;-;-;-;-;-;-;-;-;-;-
2502300;Bom Sucesso (PB);729;-;-;-;-;-;X;-;-;X;-;-;-;-;-;X;-;-;293;-;-;X;-;-;-;-;-;X;X;-;152;-;-;X;-;X;-;-;-;23;X;144;-;107;-;-;-;-;-;-;-;-;-;-;-
2502409;Bonito de Santa Fé (PB);1390;-;5;-;-;-;2;-;-;32;-;-;-;-;-;24;-;X;434;188;-;X;-;-;-;-;-;X;X;-;678;-;-;-;-;-;-;-;-;X;-;X;2;X;X;-;-;-;-;-;-;-;-;-;-
2502508;Boqueirão (PB);274;-;X;-;-;-;-;-;-;X;2;-;-;-;-;X;X;-;7;14;-;-;-;-;-;-;-;-;X;-;4;-;-;X;-;X;-;-;-;79;-;31;64;66;-;-;-;-;-;-;-;-;-;-;-
2502607;Igaracy (PB);855;-;12;-;-;-;42;-;-;X;-;-;-;-;-;5;-;-;394;-;-;-;-;-;-;-;-;-;X;-;398;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-
2502706;Borborema (PB);56;-;X;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;27;X;-;-;-;-;-;-;-;7;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2502805;Brejo do Cruz (PB);628;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;265;X;-;-;-;-;-;-;-;-;X;X;190;-;-;X;-;-;-;-;-;39;-;X;X;109;4;-;-;-;-;-;-;-;-;-;-
2502904;Brejo dos Santos (PB);235;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;144;-;-;-;-;-;-;-;-;-;-;-;52;-;-;X;-;-;-;-;-;11;-;8;X;9;-;-;-;-;-;-;-;X;-;-;-
2503001;Caaporã (PB);6034;25;2;-;-;2;-;-;-;5231;-;-;-;-;-;X;-;-;X;154;-;-;-;-;-;-;-;602;4;-;X;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;X;-;-;-;-;-;-;X
2503100;Cabaceiras (PB);280;-;1;-;X;-;-;-;-;-;6;-;-;-;-;X;-;-;44;7;-;-;-;-;-;-;-;-;2;-;22;-;-;X;X;10;-;-;-;6;-;11;129;27;14;-;-;-;-;-;-;-;-;-;-
2503209;Cabedelo (PB);X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2503308;Cachoeira dos Índios (PB);1309;-;8;-;-;X;2;-;-;1;-;-;-;-;-;22;-;9;435;2;-;1;-;-;-;-;-;1;7;X;636;-;-;6;-;-;-;-;-;102;X;63;2;12;-;-;-;-;-;-;-;-;-;-;-
2503407;Cacimba de Areia (PB);480;X;13;-;-;-;X;-;-;X;X;-;-;-;-;-;-;-;184;39;-;-;-;-;-;-;-;3;54;X;139;-;-;-;-;-;-;-;-;37;-;-;3;4;-;-;-;-;-;-;-;-;-;-;-
2503506;Cacimba de Dentro (PB);3001;X;7;-;-;-;-;-;-;-;-;-;-;-;-;116;39;1195;269;45;-;-;-;-;-;-;-;77;X;-;974;-;-;-;-;-;-;-;-;51;-;54;173;X;-;-;-;-;-;-;-;-;-;-;-
2503555;Cacimbas (PB);2010;X;36;-;-;-;-;-;-;-;-;-;-;-;-;129;-;2;762;97;-;-;-;-;-;-;X;X;28;-;911;-;-;-;-;0;-;-;-;34;-;-;5;-;4;-;-;-;-;-;-;-;-;-;-
2503605;Caiçara (PB);707;X;4;-;-;1;-;-;-;4;-;-;-;-;-;22;1;55;136;65;-;X;-;-;-;-;-;64;0;0;167;-;-;-;-;-;-;-;-;X;32;112;37;-;-;-;-;-;-;-;-;-;-;-;-
2503704;Cajazeiras (PB);1856;-;19;-;-;X;2;-;-;8;-;-;-;-;-;19;X;8;759;8;-;4;-;-;-;-;-;1;15;0;775;-;-;-;-;X;-;-;-;54;11;130;8;33;-;-;-;-;-;-;-;-;-;-;X
2503753;Cajazeirinhas (PB);56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;18;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2503803;Caldas Brandão (PB);274;-;1;-;-;X;-;-;-;58;-;-;-;-;-;8;-;-;35;X;-;-;-;-;-;-;-;130;-;-;34;-;-;-;-;-;-;-;-;-;4;X;2;-;-;-;-;-;-;-;-;-;-;-;-
2503902;Camalaú (PB);35;-;0;-;-;-;-;-;-;X;-;-;-;-;-;X;-;-;12;4;-;-;-;-;-;-;-;X;1;-;X;-;-;-;-;-;-;-;-;X;-;X;13;X;-;-;-;-;-;-;-;-;-;-;-
2504009;Campina Grande (PB);3873;X;173;X;X;X;-;-;-;-;X;-;-;-;-;175;181;246;1035;87;-;X;-;-;-;-;-;13;7;-;1209;-;-;-;5;X;-;-;-;161;-;33;526;18;-;-;-;-;-;-;-;-;-;-;-
2504033;Capim (PB);4678;-;X;-;-;-;-;-;-;4580;-;-;-;-;-;5;X;-;9;39;-;-;-;-;-;-;-;31;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2504074;Caraúbas (PB);27;-;X;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;X;10;-;-;-;-;-;-;-;-;X;X;10;-;-;-;-;-;-;-;-;X;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-
2504108;Carrapateira (PB);83;-;X;-;-;-;1;-;-;X;X;-;-;-;-;1;-;-;36;-;-;-;-;-;-;-;-;X;X;-;34;-;-;-;-;-;-;-;-;-;2;X;-;-;-;-;-;-;-;-;-;-;-;-;-
2504157;Casserengue (PB);3527;-;0;-;-;-;-;-;-;-;-;-;-;-;-;53;4;695;868;8;-;-;-;-;-;-;-;X;X;-;1322;-;-;-;-;X;-;-;-;-;-;X;573;-;X;-;-;-;-;-;-;-;-;-;-
2504207;Catingueira (PB);466;-;3;-;-;-;X;-;-;-;-;-;-;-;-;-;X;-;162;9;-;X;-;-;-;-;-;-;9;-;275;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2504306;Catolé do Rocha (PB);1487;-;X;-;-;X;3;-;-;X;-;-;-;-;-;2;-;5;442;X;-;X;-;-;-;-;-;X;1;X;368;-;-;47;-;X;-;-;-;61;X;85;2;426;19;-;-;-;-;-;-;-;-;-;-
2504355;Caturité (PB);523;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;4;8;28;7;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;X;-;-;-;X;-;27;30;362;X;-;-;-;-;-;-;-;-;-;-
2504405;Conceição (PB);2673;-;5;-;-;X;1;-;-;5;1;-;-;-;-;33;-;10;1157;5;-;X;-;-;-;-;-;2;1;-;1354;-;-;-;-;12;-;-;-;24;6;32;19;X;-;-;-;-;-;-;-;-;-;-;-
2504504;Condado (PB);482;-;2;-;-;-;-;-;-;X;X;-;-;-;-;-;X;-;151;72;-;X;-;-;-;-;-;2;5;1;227;-;-;-;-;-;-;-;-;-;X;-;X;18;-;-;-;-;-;-;-;-;-;-;-
2504603;Conde (PB);1895;16;14;-;-;X;-;-;-;1030;X;-;-;-;-;0;-;-;13;183;-;-;-;-;-;-;-;598;17;X;6;-;-;-;-;X;-;-;-;20;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-
2504702;Congo (PB);41;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9;-;-;-;-;-;-;-;-;X;-;14;-;-;-;-;X;-;-;-;11;-;-;X;X;-;-;-;-;-;-;-;-;-;-;-
2504801;Coremas (PB);142;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57;5;-;-;-;-;-;-;-;-;0;-;75;-;-;-;-;-;-;-;-;X;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-
2504850;Coxixola (PB);38;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;X;-;-;-;6;-;3;6;X;-;-;-;-;-;-;-;-;-;-;-
2504900;Cruz do Espírito Santo (PB);5898;48;7;-;-;X;-;-;-;4461;-;-;-;-;-;18;X;1;18;568;-;X;-;-;-;-;-;726;-;-;42;-;-;-;-;-;-;-;-;3;4;-;X;-;2;-;-;-;-;-;-;-;-;-;-
2505006;Cubati (PB);239;-;-;-;-;-;-;-;-;-;X;-;-;-;-;0;-;-;70;7;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;X;-;0;100;-;X;-;-;X;-;-;-;-;-;-;-
2505105;Cuité (PB);3687;-;7;3;-;-;-;-;X;X;-;-;-;-;-;227;X;15;1069;129;-;-;-;-;-;-;-;16;6;-;1230;-;-;-;-;-;-;-;-;29;-;288;664;-;X;-;-;X;-;-;-;X;-;-;-
2505204;Cuitegi (PB);255;-;X;-;-;-;-;-;-;112;X;-;-;-;-;11;X;X;14;26;-;-;-;-;-;-;-;50;-;-;22;-;-;-;-;-;-;-;-;14;4;-;X;-;-;-;-;-;-;-;-;-;-;-;-
